country,year,sex,age,cases_no,population,gdp_for_year_usd
Albania,1987,male,15-24 years,21.0,312900,2156624900
Albania,1987,male,35-54 years,16.0,308000,2156624900
Albania,1987,female,15-24 years,14.0,289700,2156624900
Albania,1987,male,75+ years,1.0,21800,2156624900
Albania,1987,male,25-34 years,9.0,274300,2156624900
Albania,1987,female,75+ years,1.0,35600,2156624900
Albania,1987,female,35-54 years,6.0,278800,2156624900
Albania,1987,female,25-34 years,4.0,257200,2156624900
Albania,1987,male,55-74 years,1.0,137500,2156624900
Albania,1988,female,75+ years,2.0,36400,2126000000
Albania,1988,male,15-24 years,17.0,319200,2126000000
Albania,1988,male,75+ years,1.0,22300,2126000000
Albania,1988,male,35-54 years,14.0,314100,2126000000
Albania,1988,male,55-74 years,4.0,140200,2126000000
Albania,1988,female,15-24 years,8.0,295600,2126000000
Albania,1988,female,55-74 years,3.0,147500,2126000000
Albania,1988,female,25-34 years,5.0,262400,2126000000
Albania,1988,male,25-34 years,5.0,279900,2126000000
Albania,1988,female,35-54 years,4.0,284500,2126000000
Albania,1989,male,75+ years,2.0,22500,2335124988
Albania,1989,male,25-34 years,18.0,283600,2335124988
Albania,1989,male,35-54 years,15.0,318400,2335124988
Albania,1989,male,55-74 years,6.0,142100,2335124988
Albania,1989,male,15-24 years,12.0,323500,2335124988
Albania,1989,female,35-54 years,7.0,288600,2335124988
Albania,1989,female,15-24 years,5.0,299900,2335124988
Albania,1989,female,25-34 years,2.0,266300,2335124988
Albania,1989,female,55-74 years,1.0,149600,2335124988
Albania,1992,male,35-54 years,12.0,343800,709452584
Albania,1992,male,15-24 years,9.0,263700,709452584
Albania,1992,male,55-74 years,5.0,159500,709452584
Albania,1992,male,25-34 years,7.0,245500,709452584
Albania,1992,female,15-24 years,7.0,292400,709452584
Albania,1992,female,25-34 years,4.0,267400,709452584
Albania,1992,female,35-54 years,2.0,323100,709452584
Albania,1992,female,55-74 years,1.0,164900,709452584
Albania,1993,male,15-24 years,18.0,243300,1228071038
Albania,1993,male,55-74 years,7.0,165000,1228071038
Albania,1993,male,75+ years,1.0,24200,1228071038
Albania,1993,male,25-34 years,9.0,230100,1228071038
Albania,1993,female,15-24 years,1.0,285300,1228071038
Albania,1993,male,35-54 years,1.0,350300,1228071038
Albania,1993,female,25-34 years,7.0,261800,1228071038
Albania,1993,female,35-54 years,7.0,331200,1228071038
Albania,1993,female,55-74 years,2.0,169500,1228071038
Albania,1993,female,5-14 years,1.0,340300,1228071038
Albania,1993,male,5-14 years,1.0,367000,1228071038
Albania,1994,male,75+ years,2.0,24600,1985673798
Albania,1994,male,55-74 years,11.0,171400,1985673798
Albania,1994,female,75+ years,2.0,39900,1985673798
Albania,1994,male,25-34 years,6.0,231400,1985673798
Albania,1994,male,35-54 years,9.0,362800,1985673798
Albania,1994,male,15-24 years,6.0,242200,1985673798
Albania,1994,female,15-24 years,6.0,282600,1985673798
Albania,1994,female,25-34 years,4.0,261100,1985673798
Albania,1994,female,35-54 years,2.0,342500,1985673798
Albania,1994,female,55-74 years,1.0,174600,1985673798
Albania,1994,male,5-14 years,1.0,371800,1985673798
Albania,1995,male,25-34 years,13.0,232900,2424499009
Albania,1995,male,55-74 years,9.0,178000,2424499009
Albania,1995,female,75+ years,2.0,40800,2424499009
Albania,1995,female,15-24 years,13.0,283500,2424499009
Albania,1995,male,15-24 years,11.0,241200,2424499009
Albania,1995,male,75+ years,1.0,25100,2424499009
Albania,1995,male,35-54 years,14.0,375900,2424499009
Albania,1995,female,25-34 years,7.0,264000,2424499009
Albania,1995,female,35-54 years,8.0,356400,2424499009
Albania,1995,male,5-14 years,6.0,376500,2424499009
Albania,1995,female,55-74 years,2.0,180400,2424499009
Albania,1995,female,5-14 years,2.0,348700,2424499009
Albania,1996,male,75+ years,2.0,25400,3314898292
Albania,1996,male,15-24 years,17.0,243600,3314898292
